0,1,2
4711700.0,4092575.0,1
4711700.0,4792662.0,1
4718050.0,4373562.0,1
4019550.0,5387975.0,1
3916362.0,4319587.0,1
3916362.0,4868862.0,1
3971925.0,4564062.0,1
3224213.0,5387975.0,1
3121025.0,4433887.0,1
3121025.0,4911725.0,1
3176588.0,4678362.0,1
6235700.0,5387975.0,1
6254750.0,1882775.0,1
6311900.0,4083050.0,1
6311900.0,2559050.0,1
5614987.0,5387975.0,1
5511800.0,3806825.0,1
2432050.0,5387975.0,1
2320925.0,4305300.0,1
2320925.0,4949825.0,1
2376488.0,4549775.0,1
1511300.0,5387975.0,1
1520825.0,4352925.0,1
1576387.0,4964112.0,1
1576387.0,4597400.0,1
7435850.0,331788.0,1
6543675.0,331788.0,1
7702550.0,330200.0,1
6810375.0,330200.0,1
1456580.0,5811851.0,1
2252266.0,5811851.0,1
3047952.0,5811851.0,1
4639324.0,5811851.0,1
5435010.0,5811851.0,1
261584.0,5754904.0,1
3843639.0,5811851.0,1
6230696.0,5811851.0,1
7213903.0,4014834.0,1
7213903.0,2502649.0,1
8116496.0,4014834.0,1
8116496.0,2502649.0,1
7213903.0,1313005.0,1
7213903.0,1555936.0,9
7213903.0,1628231.0,1
7213903.0,1840383.0,9
